BA.1.15.2,"['BA.1.15.2', 'BA.1.15.2', 'BA.1.15.2', 'BA.1.15.2']"
BA.1.15.3,"['BA.1.15.3', 'BA.1.15.3', 'BA.1.15.3', 'BA.1.15.3', 'BA.1.15.3', 'BA.1.15.3', 'BA.1.15.3', 'BA.1.15.3']"
BA.1.16,"['BA.1.16', 'BA.1.16', 'BA.1.16', 'BA.1.16', 'BA.1.16']"
BA.1.16.1,['BA.1.16.1']
BA.1.16.2,"['BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2', 'BA.1.16.2']"
BA.1.17,"['BA.1.17', 'BA.1.17', 'BA.1.17', 'BA.1.17', 'BA.1.17', 'BA.1.17']"
BA.1.17.1,"['BA.1.17.1', 'BA.1.17.1', 'BA.1.17.1', 'BA.1.17.1', 'BA.1.17.1']"
BA.1.17.2,"['BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2', 'BA.1.17.2']"
BA.1.18,"['BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18', 'BA.1.18']"
BA.1.19,"['BA.1.19', 'BA.1.19', 'BA.1.19']"
BA.1.20,"['BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20', 'BA.1.20']"
BA.1.21,"['BA.1.21', 'BA.1.21', 'BA.1.21', 'BA.1.21']"
BA.1.21.1,['BA.1.21.1']
BA.1.23,['BA.1.23']
BA.1.3,"['BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3', 'BA.1.3']"
BA.1.4,"['BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4', 'BA.1.4']"
BA.1.5,"['BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5', 'BA.1.5']"
BA.1.6,"['BA.1.6', 'BA.1.6', 'BA.1.6', 'BA.1.6', 'BA.1.6']"
BA.1.7,"['BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7', 'BA.1.7']"
BA.1.8,"['BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8', 'BA.1.8']"
BA.1.9,"['BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9', 'BA.1.9']"
